"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"str_cfgweapons_colt19110","$UNT$M1911","$UNT$M1911","$UNT$M1911","$UNT$M1911","$UNT$M1911","$UNT$M1911","$UNT$M1911","$UNT$M1911","$UNT$M1911","$UNT$M1911","$UNT$M1911","$UNT$M1911",
"str_cfgweapons_sawedoffizh43shotgun1","$UNT$A break-action side by side double barrel shotgun with the barrel and stock sawed off.","$UNT$A break-action side by side double barrel shotgun with the barrel and stock sawed off.","$UNT$A break-action side by side double barrel shotgun with the barrel and stock sawed off.","$UNT$A break-action side by side double barrel shotgun with the barrel and stock sawed off.","$UNT$A break-action side by side double barrel shotgun with the barrel and stock sawed off.","$UNT$A break-action side by side double barrel shotgun with the barrel and stock sawed off.","$UNT$A break-action side by side double barrel shotgun with the barrel and stock sawed off.","$UNT$A break-action side by side double barrel shotgun with the barrel and stock sawed off.","$UNT$A break-action side by side double barrel shotgun with the barrel and stock sawed off.","$UNT$A break-action side by side double barrel shotgun with the barrel and stock sawed off.","$UNT$A break-action side by side double barrel shotgun with the barrel and stock sawed off.","$UNT$A break-action side by side double barrel shotgun with the barrel and stock sawed off.",
"str_cfgweapons_sawedoffizh43shotgun0","$UNT$Sawed-off Izh43 Shotgun","$UNT$Sawed-off Izh43 Shotgun","$UNT$Sawed-off Izh43 Shotgun","$UNT$Sawed-off Izh43 Shotgun","$UNT$Sawed-off Izh43 Shotgun","$UNT$Sawed-off Izh43 Shotgun","$UNT$Sawed-off Izh43 Shotgun","$UNT$Sawed-off Izh43 Shotgun","$UNT$Sawed-off Izh43 Shotgun","$UNT$Sawed-off Izh43 Shotgun","$UNT$Sawed-off Izh43 Shotgun","$UNT$Sawed-off Izh43 Shotgun",
"str_cfgweapons_saiga12kshotgun1","$UNT$A combat shotgun which the internal mechanism and appearance was based on Kalashnikov 's AK rifles. It is gas operated with a rotating bolt. The Saiga-12 is semi-automatic fire only shotgun with foldable metal frame-skeleton buttstock. It can accept 5-8rounds detachable magazines, and 20 rounds detachable drum-type magazine.","$UNT$A combat shotgun which the internal mechanism and appearance was based on Kalashnikov 's AK rifles. It is gas operated with a rotating bolt. The Saiga-12 is semi-automatic fire only shotgun with foldable metal frame-skeleton buttstock. It can accept 5-8rounds detachable magazines, and 20 rounds detachable drum-type magazine.","$UNT$A combat shotgun which the internal mechanism and appearance was based on Kalashnikov 's AK rifles. It is gas operated with a rotating bolt. The Saiga-12 is semi-automatic fire only shotgun with foldable metal frame-skeleton buttstock. It can accept 5-8rounds detachable magazines, and 20 rounds detachable drum-type magazine.","$UNT$A combat shotgun which the internal mechanism and appearance was based on Kalashnikov 's AK rifles. It is gas operated with a rotating bolt. The Saiga-12 is semi-automatic fire only shotgun with foldable metal frame-skeleton buttstock. It can accept 5-8rounds detachable magazines, and 20 rounds detachable drum-type magazine.","$UNT$A combat shotgun which the internal mechanism and appearance was based on Kalashnikov 's AK rifles. It is gas operated with a rotating bolt. The Saiga-12 is semi-automatic fire only shotgun with foldable metal frame-skeleton buttstock. It can accept 5-8rounds detachable magazines, and 20 rounds detachable drum-type magazine.","$UNT$A combat shotgun which the internal mechanism and appearance was based on Kalashnikov 's AK rifles. It is gas operated with a rotating bolt. The Saiga-12 is semi-automatic fire only shotgun with foldable metal frame-skeleton buttstock. It can accept 5-8rounds detachable magazines, and 20 rounds detachable drum-type magazine.","$UNT$A combat shotgun which the internal mechanism and appearance was based on Kalashnikov 's AK rifles. It is gas operated with a rotating bolt. The Saiga-12 is semi-automatic fire only shotgun with foldable metal frame-skeleton buttstock. It can accept 5-8rounds detachable magazines, and 20 rounds detachable drum-type magazine.","$UNT$A combat shotgun which the internal mechanism and appearance was based on Kalashnikov 's AK rifles. It is gas operated with a rotating bolt. The Saiga-12 is semi-automatic fire only shotgun with foldable metal frame-skeleton buttstock. It can accept 5-8rounds detachable magazines, and 20 rounds detachable drum-type magazine.","$UNT$A combat shotgun which the internal mechanism and appearance was based on Kalashnikov 's AK rifles. It is gas operated with a rotating bolt. The Saiga-12 is semi-automatic fire only shotgun with foldable metal frame-skeleton buttstock. It can accept 5-8rounds detachable magazines, and 20 rounds detachable drum-type magazine.","$UNT$A combat shotgun which the internal mechanism and appearance was based on Kalashnikov 's AK rifles. It is gas operated with a rotating bolt. The Saiga-12 is semi-automatic fire only shotgun with foldable metal frame-skeleton buttstock. It can accept 5-8rounds detachable magazines, and 20 rounds detachable drum-type magazine.","$UNT$A combat shotgun which the internal mechanism and appearance was based on Kalashnikov 's AK rifles. It is gas operated with a rotating bolt. The Saiga-12 is semi-automatic fire only shotgun with foldable metal frame-skeleton buttstock. It can accept 5-8rounds detachable magazines, and 20 rounds detachable drum-type magazine.","$UNT$A combat shotgun which the internal mechanism and appearance was based on Kalashnikov 's AK rifles. It is gas operated with a rotating bolt. The Saiga-12 is semi-automatic fire only shotgun with foldable metal frame-skeleton buttstock. It can accept 5-8rounds detachable magazines, and 20 rounds detachable drum-type magazine.",
"str_cfgweapons_saiga12kshotgun0","$UNT$Saiga-12K","$UNT$Saiga-12K","$UNT$Saiga-12K","$UNT$Saiga-12K","$UNT$Saiga-12K","$UNT$Saiga-12K","$UNT$Saiga-12K","$UNT$Saiga-12K","$UNT$Saiga-12K","$UNT$Saiga-12K","$UNT$Saiga-12K","$UNT$Saiga-12K",
"str_cfgweapons_mp133shotgun_pistolgrip1","$UNT$Version of MP-133 shotgun that has a pistol grip for easier reloading. This version can hold only 4 rounds.","$UNT$Version of MP-133 shotgun that has a pistol grip for easier reloading. This version can hold only 4 rounds.","$UNT$Version of MP-133 shotgun that has a pistol grip for easier reloading. This version can hold only 4 rounds.","$UNT$Version of MP-133 shotgun that has a pistol grip for easier reloading. This version can hold only 4 rounds.","$UNT$Version of MP-133 shotgun that has a pistol grip for easier reloading. This version can hold only 4 rounds.","$UNT$Version of MP-133 shotgun that has a pistol grip for easier reloading. This version can hold only 4 rounds.","$UNT$Version of MP-133 shotgun that has a pistol grip for easier reloading. This version can hold only 4 rounds.","$UNT$Version of MP-133 shotgun that has a pistol grip for easier reloading. This version can hold only 4 rounds.","$UNT$Version of MP-133 shotgun that has a pistol grip for easier reloading. This version can hold only 4 rounds.","$UNT$Version of MP-133 shotgun that has a pistol grip for easier reloading. This version can hold only 4 rounds.","$UNT$Version of MP-133 shotgun that has a pistol grip for easier reloading. This version can hold only 4 rounds.","$UNT$Version of MP-133 shotgun that has a pistol grip for easier reloading. This version can hold only 4 rounds.",
"str_cfgweapons_mp133shotgun_pistolgrip0","$UNT$MP-133 Shotgun with a pistol grip","$UNT$MP-133 Shotgun with a pistol grip","$UNT$MP-133 Shotgun with a pistol grip","$UNT$MP-133 Shotgun with a pistol grip","$UNT$MP-133 Shotgun with a pistol grip","$UNT$MP-133 Shotgun with a pistol grip","$UNT$MP-133 Shotgun with a pistol grip","$UNT$MP-133 Shotgun with a pistol grip","$UNT$MP-133 Shotgun with a pistol grip","$UNT$MP-133 Shotgun with a pistol grip","$UNT$MP-133 Shotgun with a pistol grip","$UNT$MP-133 Shotgun with a pistol grip",
"str_cfgweapons_mp133shotgun1","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.","Six shot pump action shotgun fed from internal magazine. Good for hunting dangerous game. Uses both 12ga bucks and slugs.",
"str_cfgweapons_mp133shotgun0","BK-133","BK-133","BK-133","BK-133","BK-133","BK-133","BK-133","BK-133","BK-133","BK-133","BK-133","BK-133",
"str_cfgweapons_izh43shotgun1","$UNT$A break-action side by side double barrel shotgun with the barrels tilting up at the rear to expose the breech ends of the barrels for unloading and reloading.","$UNT$A break-action side by side double barrel shotgun with the barrels tilting up at the rear to expose the breech ends of the barrels for unloading and reloading.","$UNT$A break-action side by side double barrel shotgun with the barrels tilting up at the rear to expose the breech ends of the barrels for unloading and reloading.","$UNT$A break-action side by side double barrel shotgun with the barrels tilting up at the rear to expose the breech ends of the barrels for unloading and reloading.","$UNT$A break-action side by side double barrel shotgun with the barrels tilting up at the rear to expose the breech ends of the barrels for unloading and reloading.","$UNT$A break-action side by side double barrel shotgun with the barrels tilting up at the rear to expose the breech ends of the barrels for unloading and reloading.","$UNT$A break-action side by side double barrel shotgun with the barrels tilting up at the rear to expose the breech ends of the barrels for unloading and reloading.","$UNT$A break-action side by side double barrel shotgun with the barrels tilting up at the rear to expose the breech ends of the barrels for unloading and reloading.","$UNT$A break-action side by side double barrel shotgun with the barrels tilting up at the rear to expose the breech ends of the barrels for unloading and reloading.","$UNT$A break-action side by side double barrel shotgun with the barrels tilting up at the rear to expose the breech ends of the barrels for unloading and reloading.","$UNT$A break-action side by side double barrel shotgun with the barrels tilting up at the rear to expose the breech ends of the barrels for unloading and reloading.","$UNT$A break-action side by side double barrel shotgun with the barrels tilting up at the rear to expose the breech ends of the barrels for unloading and reloading.",
"str_cfgweapons_izh43shotgun0","$UNT$Izh43 Shotgun","$UNT$Izh43 Shotgun","$UNT$Izh43 Shotgun","$UNT$Izh43 Shotgun","$UNT$Izh43 Shotgun","$UNT$Izh43 Shotgun","$UNT$Izh43 Shotgun","$UNT$Izh43 Shotgun","$UNT$Izh43 Shotgun","$UNT$Izh43 Shotgun","$UNT$Izh43 Shotgun","$UNT$Izh43 Shotgun",
"str_cfgliquiddefinitions_water0","$UNT$Water","$UNT$Water","$UNT$Water","$UNT$Water","$UNT$Water","$UNT$Water","$UNT$Water","$UNT$Water","$UNT$Water","$UNT$Water","$UNT$Water","$UNT$Water",
"str_cfgliquiddefinitions_vodka0","$UNT$Vodka","$UNT$Vodka","$UNT$Vodka","$UNT$Vodka","$UNT$Vodka","$UNT$Vodka","$UNT$Vodka","$UNT$Vodka","$UNT$Vodka","$UNT$Vodka","$UNT$Vodka","$UNT$Vodka",
"str_cfgliquiddefinitions_saline0","$UNT$Saline","$UNT$Saline","$UNT$Saline","$UNT$Saline","$UNT$Saline","$UNT$Saline","$UNT$Saline","$UNT$Saline","$UNT$Saline","$UNT$Saline","$UNT$Saline","$UNT$Saline",
"str_cfgliquiddefinitions_riverwater0","$UNT$River Water","$UNT$River Water","$UNT$River Water","$UNT$River Water","$UNT$River Water","$UNT$River Water","$UNT$River Water","$UNT$River Water","$UNT$River Water","$UNT$River Water","$UNT$River Water","$UNT$River Water",
"str_cfgliquiddefinitions_gasoline0","$UNT$Gasoline","$UNT$Gasoline","$UNT$Gasoline","$UNT$Gasoline","$UNT$Gasoline","$UNT$Gasoline","$UNT$Gasoline","$UNT$Gasoline","$UNT$Gasoline","$UNT$Gasoline","$UNT$Gasoline","$UNT$Gasoline",
"str_cfgliquiddefinitions_disinfectant0","$UNT$Disinfectant","$UNT$Disinfectant","$UNT$Disinfectant","$UNT$Disinfectant","$UNT$Disinfectant","$UNT$Disinfectant","$UNT$Disinfectant","$UNT$Disinfectant","$UNT$Disinfectant","$UNT$Disinfectant","$UNT$Disinfectant","$UNT$Disinfectant",
"str_cfgliquiddefinitions_diesel0","$UNT$Diesel","$UNT$Diesel","$UNT$Diesel","$UNT$Diesel","$UNT$Diesel","$UNT$Diesel","$UNT$Diesel","$UNT$Diesel","$UNT$Diesel","$UNT$Diesel","$UNT$Diesel","$UNT$Diesel",
"str_cfgliquiddefinitions_blood_bpositive0","$UNT$Blood B positive","$UNT$Blood B positive","$UNT$Blood B positive","$UNT$Blood B positive","$UNT$Blood B positive","$UNT$Blood B positive","$UNT$Blood B positive","$UNT$Blood B positive","$UNT$Blood B positive","$UNT$Blood B positive","$UNT$Blood B positive","$UNT$Blood B positive",
"str_cfgliquiddefinitions_blood_bnegative0","$UNT$Blood B negative","$UNT$Blood B negative","$UNT$Blood B negative","$UNT$Blood B negative","$UNT$Blood B negative","$UNT$Blood B negative","$UNT$Blood B negative","$UNT$Blood B negative","$UNT$Blood B negative","$UNT$Blood B negative","$UNT$Blood B negative","$UNT$Blood B negative",
"str_cfgliquiddefinitions_blood_apositive0","$UNT$Blood A positive","$UNT$Blood A positive","$UNT$Blood A positive","$UNT$Blood A positive","$UNT$Blood A positive","$UNT$Blood A positive","$UNT$Blood A positive","$UNT$Blood A positive","$UNT$Blood A positive","$UNT$Blood A positive","$UNT$Blood A positive","$UNT$Blood A positive",
"str_cfgliquiddefinitions_blood_anegative0","$UNT$Blood A negative","$UNT$Blood A negative","$UNT$Blood A negative","$UNT$Blood A negative","$UNT$Blood A negative","$UNT$Blood A negative","$UNT$Blood A negative","$UNT$Blood A negative","$UNT$Blood A negative","$UNT$Blood A negative","$UNT$Blood A negative","$UNT$Blood A negative",
"str_cfgliquiddefinitions_blood_abpositive0","$UNT$Blood AB positive","$UNT$Blood AB positive","$UNT$Blood AB positive","$UNT$Blood AB positive","$UNT$Blood AB positive","$UNT$Blood AB positive","$UNT$Blood AB positive","$UNT$Blood AB positive","$UNT$Blood AB positive","$UNT$Blood AB positive","$UNT$Blood AB positive","$UNT$Blood AB positive",
"str_cfgliquiddefinitions_blood_abnegative0","$UNT$Blood AB negative","$UNT$Blood AB negative","$UNT$Blood AB negative","$UNT$Blood AB negative","$UNT$Blood AB negative","$UNT$Blood AB negative","$UNT$Blood AB negative","$UNT$Blood AB negative","$UNT$Blood AB negative","$UNT$Blood AB negative","$UNT$Blood AB negative","$UNT$Blood AB negative",
"str_cfgliquiddefinitions_blood_0positive0","$UNT$Blood 0 positive","$UNT$Blood 0 positive","$UNT$Blood 0 positive","$UNT$Blood 0 positive","$UNT$Blood 0 positive","$UNT$Blood 0 positive","$UNT$Blood 0 positive","$UNT$Blood 0 positive","$UNT$Blood 0 positive","$UNT$Blood 0 positive","$UNT$Blood 0 positive","$UNT$Blood 0 positive",
"str_cfgliquiddefinitions_blood_0negative0","$UNT$Blood 0 negative","$UNT$Blood 0 negative","$UNT$Blood 0 negative","$UNT$Blood 0 negative","$UNT$Blood 0 negative","$UNT$Blood 0 negative","$UNT$Blood 0 negative","$UNT$Blood 0 negative","$UNT$Blood 0 negative","$UNT$Blood 0 negative","$UNT$Blood 0 negative","$UNT$Blood 0 negative",
"str_cfgliquiddefinitions_beer0","$UNT$Beer","$UNT$Beer","$UNT$Beer","$UNT$Beer","$UNT$Beer","$UNT$Beer","$UNT$Beer","$UNT$Beer","$UNT$Beer","$UNT$Beer","$UNT$Beer","$UNT$Beer",
"STR_SUNDAY","Sun","Sun","Ne","So","Вс.","Nd.","V","Dom","Dom","Dim","Sun","Sun",
"STR_TUESDAY","Tue","Tue","Út","Di","Вт.","Wt.","K","Mar","Mar","Mar","Tue","Tue",
"STR_WEDNESDAY","Wed","Wed","St","Mi","Ср.","Śr.","Sze","Mer","Miér","Mer","Wed","Wed",
"STR_APRIL","Apr","Apr","IV","Apr","Апр.","Kwi","Ápr","Apr","Abr","Avr","4月","Apr",
"STR_AUGUST","Aug","Aug","VIII","Aug","Авг.","Sie","Aug","Ago","Ago","Aoû","8月","Aug",
"STR_BATTLEYE_INIT_FAILED","BattlEye initialization failed","BattlEye initialization failed","BattlEye initialization failed","BattlEye initialization failed","BattlEye initialization failed","BattlEye initialization failed","BattlEye initialization failed","BattlEye initialization failed","BattlEye initialization failed","BattlEye initialization failed","BattlEye initialization failed","BattlEye initialization failed",
"STR_THURSDAY","Thu","Thu","Čt","Do","Чт.","Cz.","Cs","Gio","Jue","Jeu","Thu","Thu",
"STR_MONDAY","Mon","Mon","Po","Mo","Пн.","Po.","H","Lun","Lun","Lun","Mon","Mon",
"STR_CONFIG_YNORMAL","Invert Mouse: Off","Invert Mouse: Off","Standardní","Normal","Станд.","Normalne","Normál","No","No","Normal","普通","Invert Mouse: Off",
"STR_SATURDAY","Sat","Sat","So","Sa","Сб.","So.","Szo","Sab","Sáb","Sam","Sat","Sat",
"STR_CONFIG_YREVERSED","Invert Mouse: On","Invert Mouse: On","Převrácená","Umgekehrt","Инверт.","Odwrócone","Fordított","Sì","Sí","Inversé","反転","Invert Mouse: On",
"STR_CREATE_CLIENT","Joining game...","Joining game...","Připojení ke hře…","Beitritt zum Spiel ...","Соединение с игрой...","Dołączanie do gry...","Csatlakozás a játékhoz…","Collegamento alla partita in corso...","Accediendo al juego...","Connexion à la partie...","Joining game...","Joining game...",
"STR_FRIDAY","Fri","Fri","Pá","Fr","Пт.","Pt.","P","Ven","Vier","Ven","Fri","Fri",
"STR_JANUARY","Jan","Jan","I","Jan","Янв.","Sty","Jan","Gen","Ene","Jan","1月","Jan",
"STR_MARCH","Mar","Mar","III","Mär","Март","Mar","Már","Mar","Mar","Mar","3月","Mar",
"STR_MAY","May","May","V","Mai","Май","Maj","Máj","Mag","May","Mai","5月","May",
"STR_SEPTEMBER","Sep","Sep","IX","Sep","сент.","Wrz","Szept","Set","Sep","Sep","9月","Sep",
"STR_OCTOBER","Oct","Oct","X","Okt","окт.","Paź","Okt","Ott","Oct","Oct","10月","Oct",
"STR_CREATE_SERVER","Creating host...","Creating host...","Vytváření serveru…","Erstelle Host ...","Создание сервера...","Tworzenie hosta...","Kiszolgáló létrehozása…","Creazione host in corso...","Creando anfitrión...","Création d'hôte...","Creating host...","Creating host...",
"STR_DAMAGED_DISC","There’s a problem with the disc you’re using. It may be dirty or damaged.","There’s a problem with the disc you’re using. It may be dirty or damaged.","Disk, který používáte, není v pořádku. Může být špinavý nebo poškozený.","Bei der benutzten DVD ist ein Problem aufgetreten. Möglicherweise ist sie verschmutzt oder beschädigt.","Возникли проблемы с диском в приводе. Возможно, он испачкан или поврежден.","Wystąpił problem z dyskiem. Może być zabrudzony lub uszkodzony.","A jelenleg használt lemez hibás. Lehet, hogy koszos, vagy sérült.","C’è un problema con il disco che stai usando. Potrebbe essere sporco o danneggiato.","Hay problemas en el disco que estás usando. Es posible que esté sucio o dañado.","Le disque utilisé présente une anomalie. Il est peut-être sale ou endommagé.","There’s a problem with the disc you’re using. It may be dirty or damaged.","There’s a problem with the disc you’re using. It may be dirty or damaged.",
"STR_JUNE","Jun","Jun","VI","Jun","Июнь","Cze","Jún","Giu","Jun","Juin","6月","Jun",
"STR_DATE_FORMAT","%a, %b %d","%a, %b %d","%a, %d.%b","%a, %d. %b","%a, %d %b","%a, %b %d","%a, %b %d","%a, %b %d","%a, %b %d","%a, %d %b","%a, %b %d","%a, %b %d",
"STR_DECEMBER","Dec","Dec","XII","Dez","дек.","Gru","Dec","Dic","Dic","Déc","12月","Dec",
"STR_NOVEMBER","Nov","Nov","XI","Nov","нояб.","List","Nov","Nov","Nov","Nov","11月","Nov",
"STR_DEDICATED_SERVER","Dedicated server","Dedicated server","Dedikovaný server","Dedizierter Server","Выделенный сервер","Serwer dedykowany","Dedikált szerver","Server dedicato","Servidor adjudicado","Serveur dédié","Dedicated server","Dedicated server",
"STR_RESOLUTION_FORMAT","%d×%d×%d","%d×%d×%d","%d×%d×%d","%d x %d x %d","%dx%dx%d","%d x %d x %d","%d×%d×%d","%d x %d x %d","%d×%d×%d","%d x %d x %d","%d×%d×%d","%d×%d×%d",
"STR_DIK_0","0","0","0","0","0","0","0","0","0","0","0","0",
"STR_JULY","Jul","Jul","VII","Jul","Июль","Lip","Júl","Lug","Jul","Jul","7月","Jul",
"STR_REFRESH_RATE_FORMAT","%d Hz","%d Hz","%d Hz","%d Hz","%d Гц","%d Hz","%d Hz","%d Hz","%d Hz","%d Hz","%d Hz","%d Hz",
"STR_TIME_ACC_FORMAT","Time × %.3f","Time × %.3f","Rychlost hry × %.3f","Zeit × %.3f","Время x %.3f","Czas x %.3f","Idő × %.3f","Tempo x %.3f","Tiempo × %.3f","Temps x %.3f","Time × %.3f","Time × %.3f",
"STR_DIK_1","1","1","1","1","1","1","1","1","1","1","1","1",
"STR_SESSION_NAME_FORMAT","%s on %s","%s on %s","%s na počítači %s","%s auf %s","%s в %s","%s na %s","%s %s-(o)n","%s su %s","%s en %s","%s sur %s","%s on %s","%s on %s",
"STR_FEBRUARY","Feb","Feb","II","Feb","февр.","Lut","Feb","Feb","Feb","Fév","2月","Feb",
"STR_DIK_2","2","2","2","2","2","2","2","2","2","2","2","2",
"STR_DIK_3","3","3","3","3","3","3","3","3","3","3","3","3",
"STR_SESSION_NAME_INIT","Creating...","Creating...","Vytvářím…","Erstelle ...","Создается...","Tworzenie...","Készítés…","Creazione in corso...","Creando...","Création...","Creating...","Creating...",
"STR_MAP_LEGEND_INFO","Elevation in meters","Elevation in meters","Výška stoupání v metrech","Höhe in Metern","Расстояние в метрах","Wzniesienia w metrach","Emelkedés mértéke méterben","Altezza in metri","Elevación en metros","Altitudes en m","Elevation in meters","Elevation in meters",
"STR_DIK_4","4","4","4","4","4","4","4","4","4","4","4","4",
"STR_DIK_5","5","5","5","5","5","5","5","5","5","5","5","5",
"STR_MAP_SCALE_FORMAT","%g m","%g m","%g m","%g m","%g м","%g m","%g m","%g m","%g m","%g m","%g m","%g m",
"STR_MAP_INTERVAL","CONTOUR INTERVAL %g m","CONTOUR INTERVAL %g m","Interval vrstevnic %g m","KONTURINTERVALL %g m","ИНТЕРВАЛ КОНТУРОВ %g  м","ODSTĘPY KONTURÓW %g m","KÖRVONAL %g m","INTERVALLO CONTORNO %g m","INTERVALO DE CONTORNO %g m","INTERVALLE CONTOUR %g m","CONTOUR INTERVAL %g m","CONTOUR INTERVAL %g m",
"STR_DIK_6","6","6","6","6","6","6","6","6","6","6","6","6",
"STR_DIK_7","7","7","7","7","7","7","7","7","7","7","7","7",
"STR_DIK_8","8","8","8","8","8","8","8","8","8","8","8","8",
"STR_DIK_9","9","9","9","9","9","9","9","9","9","9","9","9",
"STR_DIK_A","A","A","A","A","A","A","A","A","A","Q","A","A",
"STR_DIK_ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1","ABNT_C1",
"STR_DIK_ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2","ABNT_C2",
"STR_DIK_ADD","+ [NUM]","+ [NUM]","+ [NUM]","+ [NUM]","+ [NUM]","+ [NUM]","+ [NUM]","+ [Tn]","+ [NUM]","+ [NUM]","+ [テンキー]","+ [NUM]",
"STR_DIK_APOSTROPHE","'","'","'","'","'","'","'","'","'","'","'","'",
"STR_DIK_APPS","App Menu","App Menu","Nabídka aplikací","Anwendungsmenü","App Menu","Zastosuj Menu","Alkalmazások menü","Menu applicaz.","Menú Apl.","Menu app.","App Menu","App Menu",
"STR_DIK_AT","'n'","'n'","&","&","&","&","&","/","&","&","'n'","'n'",
"STR_DIK_AX","Ax","Ax","Ax","Ax","Ax","Ax","Ax","Asse","Ax","Ax","Ax","Ax",
"STR_DIK_B","B","B","B","B","B","B","B","B","B","B","B","B",
"STR_DIK_BACK","Backspace","Backspace","Backspace","Backspace","Backspace","Backspace","Backspace","Indietro","Borrar","Retour arr.","Backspace","Backspace",
"STR_DIK_BACKSLASH","\","\","\","\","\","\","\","Ã¹","§","<","\","\",
"STR_DIK_C","C","C","C","C","C","C","C","C","C","C","C","C",
"STR_DIK_CALCULATOR","Calculator","Calculator","Kalkulátor","Rechner","Калькулятор","Kalkulator","Számológép","Calcolatrice","Calculadora","Calculatrice","Calculator","Calculator",
"STR_DIK_CAPITAL","Caps Lock","Caps Lock","Caps lock","Feststelltaste","Caps Lock","Caps Lock","Caps Lock","Bloc Maiusc","Bloq Mayús","Verr. Maj.","Caps Lock","Caps Lock",
"STR_DIK_COLON",",,",",,",",,",",,",",,",",,",",,",",,",",,",",,",",,",",,",
"STR_DIK_COMMA",",",",",",",",",",",",",",",",",",",",",",",",",
"STR_DIK_CONVERT","Convert","Convert","Konvertovat","Umwandeln","Конвертировать","Zmiana","Konvertálás","Converti","Convertir","Convert","Convert","Convert",
"STR_DIK_D","D","D","D","D","D","D","D","D","D","D","D","D",
"STR_DIK_DECIMAL",". [NUM]",". [NUM]",". [NUM]",". [NUM]",". [NUM]",". [NUM]",". [NUM]",". [Tn]",". [NUM]",". [NUM]",". [テンキー]",". [NUM]",
"STR_DIK_DELETE","Delete","Delete","Delete","Löschen","Delete","Delete","Törlés","Cancella","Suprimir","Suppr.","Delete","Delete",
"STR_DIK_DIVIDE","/ [NUM]","/ [NUM]","/ [NUM]","/ [NUM]","/ [NUM]","/ [NUM]","/ [NUM]","/ [Tn]","/ [NUM]","/ [NUM]","/ [テンキー]","/ [NUM]",
"STR_DIK_DOWN","DOWN","DOWN","DOLŮ","UNTEN","ВНИЗ","W DÓŁ","LE","GIÙ","ABAJO","BAS","↓カーソルキー","DOWN",
"STR_DIK_E","E","E","E","E","E","E","E","E","E","E","E","E",
"STR_DIK_END","End","End","End","Ende","End","End","End","Fine","Fin","Fin","End","End",
"STR_DIK_EQUALS","=","=","=","=","=","=","=","Ã¬","¡","=","=","=",
"STR_DIK_ESCAPE","Escape","Escape","Escape","Esc","Escape","Escape","Esc","Esc","Escape","Échap","Esc","Escape",
"STR_DIK_F","F","F","F","F","F","F","F","F","F","F","F","F",
"STR_DIK_F1","F1","F1","F1","F1","F1","F1","F1","F1","F1","F1","F1","F1",
"STR_DIK_F10","F10","F10","F10","F10","F10","F10","F10","F10","F10","F10","F10","F10",
"STR_DIK_F11","F11","F11","F11","F11","F11","F11","F11","F11","F11","F11","F11","F11",
"STR_DIK_F12","F12","F12","F12","F12","F12","F12","F12","F12","F12","F12","F12","F12",
"STR_DIK_F13","F13","F13","F13","F13","F13","F13","F13","F13","F13","F13","F13","F13",
"STR_DIK_F14","F14","F14","F14","F14","F14","F14","F14","F14","F14","F14","F14","F14",
"STR_MSG_MP_PASSWORD","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.","Není možné se připojit. Zadané heslo je nesprávné.","Passwort erforderlich.","Присоединение невозможно. Неверный пароль.","Potrzebne jest hasło.","Nem sikerült csatlakozni. Hibás jelszót adtál meg.","Non è possibile unirsi alla sessione. Password non valida.","No se puede acceder a la sesión. Contraseña incorrecta.","Impossible de rejoindre la session : mot de passe incorrect.","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.",
"STR_MSG_NO_WORLD","World %s not found.","World %s not found.","Svět %s nebyl nalezen.","Welt %s nicht gefunden.","Мир %s не найден.","Nie znaleziono świata %s.","Nem található a %s világ.","Mondo % non trovato.","No se ha encontrado el mundo %s.","Monde %s introuvable.","World %s not found.","World %s not found.",
"STR_DIK_F15","F15","F15","F15","F15","F15","F15","F15","F15","F15","F15","F15","F15",
